date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,importance,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1889-03-09,Scotland,Northern Ireland,7,0,British Home Championship,Glasgow,Scotland,False,1.0,1012.734850285331,991.5921814867006,1013.2145769088775,991.1124548631542
1889-04-13,England,Scotland,2,3,British Home Championship,London,England,False,1.0,1003.504241772582,1013.2145769088775,1003.0135568916977,1013.7052617897617
1889-04-15,Wales,Scotland,0,0,British Home Championship,Wrexham,Wales,False,1.0,992.6569781829613,1013.7052617897617,992.6771611534867,1013.6850788192363
1889-04-27,Northern Ireland,Wales,1,3,British Home Championship,Belfast,Ireland,False,1.0,991.1124548631542,992.6771611534867,990.6139560542181,993.1756599624229
1890-02-08,Wales,Northern Ireland,5,2,British Home Championship,Shrewsbury,England,True,1.0,993.1756599624229,990.6139560542181,993.6732022567037,990.1164137599372
1890-03-15,Northern Ireland,England,1,9,British Home Championship,Belfast,Ireland,False,1.0,990.1164137599372,1003.0135568916977,989.6287848885256,1003.5011857631093
1890-03-15,Wales,England,1,3,British Home Championship,Wrexham,Wales,False,1.0,993.6732022567037,1003.5011857631093,993.1826302092427,1003.9917578105703
1890-03-22,Scotland,Wales,5,0,British Home Championship,Paisley,Scotland,False,1.0,1013.6850788192363,993.1826302092427,1014.1654186971386,992.7022903313404
1890-03-29,Northern Ireland,Scotland,1,4,British Home Championship,Belfast,Ireland,False,1.0,989.6287848885256,1014.1654186971386,989.1523082130489,1014.6418953726154
1890-04-05,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,False,1.0,1014.6418953726154,1003.9917578105703,1014.6316789414361,1004.0019742417496
1891-02-07,Northern Ireland,Wales,7,2,British Home Championship,Belfast,Ireland,False,1.0,989.1523082130489,992.7022903313404,989.6557140503324,992.1988844940568
1891-03-07,England,Wales,4,1,British Home Championship,Sunderland,England,False,1.0,1004.0019742417496,992.1988844940568,1004.4906521697933,991.7102065660131
1891-03-07,England,Northern Ireland,6,1,British Home Championship,Wolverhampton,England,False,1.0,1004.4906521697933,989.6557140503324,1004.9764232180399,989.1699430020858
