year,date,round,home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_elo,away_elo,home_form,away_form,home_comp_form,away_comp_form,result
2006,2006-06-16,Group stage,Netherlands,Ivory Coast,2,1,,,1995.0,1767.0,0.616,1.5114,3.7363,1.0665,1
2006,2006-06-16,Group stage,Mexico,Angola,0,0,,,1841.0,1549.0,-0.0758,0.7357,-5.439,2.874,0
2006,2006-06-17,Group stage,Portugal,Iran,2,0,,,1914.0,1804.0,0.9615,0.8075,0.6047,2.5874,1
2006,2006-06-17,Group stage,Czech Republic,Ghana,0,2,,,1964.0,1617.0,0.0911,-0.953,0.704,1.379,-1
2006,2006-06-17,Group stage,Italy,United States,1,1,,,1949.0,1849.0,1.3692,0.4854,-0.0376,2.2401,0
2006,2006-06-18,Group stage,Japan,Croatia,0,0,,,1789.0,1847.0,0.1988,-0.2294,1.5088,1.2262,0
2006,2006-06-18,Group stage,Brazil,Australia,2,0,,,2034.0,1797.0,2.4688,-0.0234,-0.2247,-3.6282,1
2006,2006-06-18,Group stage,France,South Korea,1,1,,,1955.0,1745.0,1.6249,1.8174,-0.1934,-1.6408,0
2006,2006-06-19,Group stage,Togo,Switzerland,0,2,,,1582.0,1795.0,-5.6759,1.7372,0.1698,1.8765,-1
2006,2006-06-19,Group stage,Saudi Arabia,Ukraine,0,4,,,1595.0,1781.0,-1.1625,-0.7443,1.7932,3.5929,-1
2006,2006-06-19,Group stage,Spain,Tunisia,3,1,,,1961.0,1690.0,1.4256,1.5375,-1.1485,1.2452,1
2006,2006-06-20,Group stage,Costa Rica,Poland,1,2,,,1736.0,1837.0,-0.6043,-1.1308,2.2238,2.9256,-1
2006,2006-06-20,Group stage,Ecuador,Germany,0,3,,,1719.0,1881.0,-2.4582,-0.3102,4.4927,2.5388,-1
2006,2006-06-20,Group stage,Paraguay,Trinidad and Tobago,2,0,,,1767.0,1498.0,0.9088,3.5222,-0.2155,4.5529,1
2006,2006-06-20,Group stage,Sweden,England,2,2,,,1874.0,1968.0,-0.8582,0.8566,1.9056,1.3816,0
2006,2006-06-21,Group stage,Portugal,Mexico,2,1,,,1914.0,1841.0,0.9615,-0.0758,0.6047,-5.439,1
2006,2006-06-21,Group stage,Iran,Angola,1,1,,,1804.0,1549.0,0.8075,0.7357,2.5874,2.874,0
2006,2006-06-21,Group stage,Ivory Coast,Serbia,3,2,,,1767.0,1801.0,1.5114,1.5571,1.0665,3.2968,1
2006,2006-06-21,Group stage,Netherlands,Argentina,0,0,,,1995.0,1917.0,0.616,-4.5931,3.7363,-1.8034,0
2006,2006-06-22,Group stage,Ghana,United States,2,1,,,1617.0,1849.0,-0.953,0.4854,1.379,2.2401,1
2006,2006-06-22,Group stage,Czech Republic,Italy,0,2,,,1964.0,1949.0,0.0911,1.3692,0.704,-0.0376,-1
2006,2006-06-22,Group stage,Japan,Brazil,1,4,,,1789.0,2034.0,0.1988,2.4688,1.5088,-0.2247,-1
2006,2006-06-22,Group stage,Croatia,Australia,2,2,,,1847.0,1797.0,-0.2294,-0.0234,1.2262,-3.6282,0
2006,2006-06-23,Group stage,Saudi Arabia,Spain,0,1,,,1595.0,1961.0,-1.1625,1.4256,1.7932,-1.1485,-1
2006,2006-06-23,Group stage,Ukraine,Tunisia,1,0,,,1781.0,1690.0,-0.7443,1.5375,3.5929,1.2452,1
2006,2006-06-23,Group stage,Togo,France,0,2,,,1582.0,1955.0,-5.6759,1.6249,0.1698,-0.1934,-1
2006,2006-06-23,Group stage,Switzerland,South Korea,2,0,,,1795.0,1745.0,1.7372,1.8174,1.8765,-1.6408,1
